"p2"	"p31"	"p32"	"p33"	"arc_length"
4.40286e-02	4.40286e-02	1.77687e+00	0.00000e+00	9.43968e+01
6.83427e-03	6.83427e-03	1.77514e+00	0.00000e+00	9.45700e+01
0.00000e+00	0.00000e+00	1.77340e+00	0.00000e+00	9.47432e+01
0.00000e+00	0.00000e+00	1.77166e+00	0.00000e+00	9.49164e+01
0.00000e+00	0.00000e+00	1.76993e+00	0.00000e+00	9.50896e+01
2.04933e-02	2.04933e-02	1.76820e+00	0.00000e+00	9.52628e+01
9.07671e-02	9.07671e-02	1.76646e+00	0.00000e+00	9.54360e+01
1.61044e-01	1.61044e-01	1.76472e+00	0.00000e+00	9.56092e+01
2.31317e-01	2.31317e-01	1.76298e+00	0.00000e+00	9.57824e+01
3.01594e-01	3.01594e-01	1.76125e+00	0.00000e+00	9.59556e+01
3.68391e-01	3.68391e-01	1.75951e+00	0.00000e+00	9.61288e+01
4.31894e-01	4.31894e-01	1.75777e+00	0.00000e+00	9.63020e+01
3.61107e-01	3.61107e-01	1.75608e+00	0.00000e+00	9.64752e+01
2.52060e-01	2.52060e-01	1.75440e+00	0.00000e+00	9.66484e+01
1.66773e-01	1.66773e-01	1.75271e+00	0.00000e+00	9.68216e+01
1.25570e-01	1.25570e-01	1.75101e+00	0.00000e+00	9.69948e+01
8.43669e-02	8.43669e-02	1.74930e+00	0.00000e+00	9.71680e+01
4.31622e-02	4.31622e-02	1.74760e+00	0.00000e+00	9.73413e+01
1.95916e-03	1.95916e-03	1.74589e+00	0.00000e+00	9.75145e+01
0.00000e+00	0.00000e+00	1.74419e+00	0.00000e+00	9.76877e+01
0.00000e+00	0.00000e+00	1.74249e+00	0.00000e+00	9.78609e+01
0.00000e+00	0.00000e+00	1.74079e+00	0.00000e+00	9.80341e+01
0.00000e+00	0.00000e+00	1.73906e+00	0.00000e+00	9.82073e+01
0.00000e+00	0.00000e+00	1.73736e+00	0.00000e+00	9.83805e+01
0.00000e+00	0.00000e+00	1.73565e+00	0.00000e+00	9.85537e+01
0.00000e+00	0.00000e+00	1.73394e+00	0.00000e+00	9.87269e+01
0.00000e+00	0.00000e+00	1.73222e+00	0.00000e+00	9.89001e+01
0.00000e+00	0.00000e+00	1.73051e+00	0.00000e+00	9.90733e+01
0.00000e+00	0.00000e+00	1.72880e+00	0.00000e+00	9.92465e+01
0.00000e+00	0.00000e+00	1.72709e+00	0.00000e+00	9.94197e+01
0.00000e+00	0.00000e+00	1.72539e+00	0.00000e+00	9.95929e+01
0.00000e+00	0.00000e+00	1.72370e+00	0.00000e+00	9.97661e+01
0.00000e+00	0.00000e+00	1.72203e+00	0.00000e+00	9.99393e+01
0.00000e+00	0.00000e+00	1.72036e+00	0.00000e+00	1.00113e+02
0.00000e+00	0.00000e+00	1.71867e+00	0.00000e+00	1.00286e+02
0.00000e+00	0.00000e+00	1.71698e+00	0.00000e+00	1.00459e+02
0.00000e+00	0.00000e+00	1.71529e+00	0.00000e+00	1.00632e+02
0.00000e+00	0.00000e+00	1.71360e+00	0.00000e+00	1.00805e+02
0.00000e+00	0.00000e+00	1.71191e+00	0.00000e+00	1.00979e+02
0.00000e+00	0.00000e+00	1.71022e+00	0.00000e+00	1.01152e+02
